Date,Open,High,Low,Close,Adj Close,Volume
2008-01-24,54.242.000.000,57.675.000.000,54.242.000.000,57.463.000.000,57.463.000.000,3801800
2008-01-28,57.457.000.000,58.721.000.000,56.360.000.000,58.594.000.000,58.594.000.000,3928600
2008-01-29,58.597.000.000,59.715.000.000,58.597.000.000,59.530.000.000,59.530.000.000,3441800
2008-01-30,59.522.000.000,60.289.000.000,58.752.000.000,60.289.000.000,60.289.000.000,4314400
2008-01-31,60.288.000.000,60.288.000.000,57.886.000.000,59.490.000.000,59.490.000.000,6158800
2008-02-01,59.491.000.000,61.187.000.000,59.491.000.000,61.080.000.000,61.080.000.000,3601800
2008-02-06,61.076.000.000,61.076.000.000,58.742.000.000,58.969.000.000,58.969.000.000,0
2008-02-07,58.965.000.000,59.581.000.000,58.030.000.000,58.965.000.000,58.965.000.000,3993400
2008-02-08,58.967.000.000,59.520.000.000,58.843.000.000,59.076.000.000,59.076.000.000,2023200
2008-02-11,59.081.000.000,60.805.000.000,59.081.000.000,60.643.000.000,60.643.000.000,2569600
